序号,排名,企业名称,地区,是否A股上市,A股上市名称（股票名称）,股票代码,上市子公司（股票代码）,备注,分工
22,24,金川集团股份有限公司,甘肃金昌,N,,,HK-金川集团国际资源有限公司(02362),,
23,25,广州汽车工业集团有限公司,广东广州,Y,广汽集团,601238,,,
24,26,恒力集团有限公司,江苏吴江,N,,,恒力股份(600346),,
25,27,江苏沙钢集团有限公司,江苏张家港,Y,沙钢股份,,,,
26,28,新兴际华集团有限公司,北京,N,,,新兴铸管(000778),,
27,29,大同煤矿集团有限责任公司,山西大同,N,,,大同煤业(601001),,
28,30,中国五矿集团公司,北京,N,,,"五矿稀土(000831),五矿发展(600058),五矿资本(600390)",,
29,31,江西铜业股份有限公司,江西贵溪,Y,江西铜业,600362,,,
30,32,中国建筑材料集团有限公司,北京,N(港股03323),,,,,
31,33,中国电子信息产业集团有限公司,北京,N,,,"振华科技(000733),中国长城(000066),中国海防(600764),中国软件(600536),深科技(000021)",,
32,34,山西焦煤集团有限责任公司,山西太原,N,,,山西焦化(600740),,
33,35,中国航天科技集团公司,北京,N,,,"中国卫星(600118),航天电子(600879),航天机电(600151),航天动力(600343)",,
34,36,陕西煤业化工集团有限责任公司,陕西西安,Y,陕西煤业,601225,,,
35,37,中国船舶工业集团公司,上海,Y,*ST船舶,600150,,,
36,38,海尔集团公司,山东青岛,N,,,青岛海尔(600690),,
37,39,山西潞安矿业（集团）有限责任公司,山西长治,N,,,潞安环能(601699),,
38,41,中国有色矿业集团有限公司,北京,N(港股031258),,,中色股份(000758),,
39,43,华晨汽车集团控股有限公司,香港,N港股（01114）,,,,,
40,44,河南能源化工集团有限责任公司,河南郑州,N,,,大有能源（600403）,,
41,45,美的集团股份有限公司,广东佛山,Y,美的集团,000333,,,
42,46,光明食品（集团）有限公司,上海,N,,,上海梅林（600073）、金枫酒业（600616）、开创国际（600097）、光明乳业（600597）、光明地产（600708）,,
43,47,中国平煤神马能源化工集团有限责任公司,河南平顶山,N,,,神马股份（600810）、平煤股份（601666）、,,
44,48,铜陵有色金属集团控股有限公司,安徽铜陵,Y,铜陵有色,000630,,,
45,49,海亮集团有限公司,浙江诸暨,N,,,海亮股份（002203）,,
46,51,黑龙江北大荒农垦集团总公司,黑龙江哈尔滨,Y,北大荒,600598,,,
47,52,鞍钢集团公司,辽宁鞍山,Y,鞍钢股份,000898,,,
48,53,天津中环电子信息集团有限公司,天津滨海,N,,,天津普林（002134），乐山电力（600644），七一二（603712）,,
49,54,上海医药集团股份有限公司,上海医药,Y,上海医药,601607,,,
50,56,陕西有色金属控股集团有限责任公司,陕西西安,N,,,陕西煤业（601225）,,
51,57,万向集团公司,浙江杭州,N,,,航民（600987）、万向钱潮（000559）,,
52,59,珠海格力电器股份有限公司,广东珠海,N,格力电器,000651,,,
53,62,TCL集团股份有限公司,广东惠州,Y,TCL集团,100,,,
54,63,比亚迪股份有限公司,广东深圳,Y,比亚迪,002594,,,
55,64,红塔烟草（集团）有限责任公司,云南玉溪,N,,,华夏银行（600015）,,
56,65,兖州煤业股份有限公司,山东邹城,Y,兖州煤业,600188,,,
57,67,江苏悦达集团有限公司,江苏盐城,Y,悦达投资,600805,,,
58,68,中国建材股份有限公司,北京,N(港股03323),,,,,
59,69,四川长虹电器股份有限公司,四川绵阳,Y,四川长虹,600839,,,
60,70,酒泉钢铁（集团）有限责任公司,甘肃嘉峪关,N,,,酒钢宏兴（600307）,,
61,74,长城汽车股份有限公司,河北包定,Y,长城汽车,601633,,,
62,75,上海电气（集团）总公司,上海,Y,上海电气,601727,,,
63,77,太原钢铁（集团）有限公司,山西太原,N,,,光大银行（601818）,,
64,79,南山集团有限公司,山东龙口,N,,,南山铝业（600219）,,
65,80,盛虹控股集团有限公司,江苏苏州,N,,000301,东方盛虹（000301）,,
66,81,浙江荣盛控股集团有限公司,浙江杭州,N,,002493,荣盛石化（002493）,,
67,82,北大方正集团有限公司,北京,N,,,北大医药（000788）,,
68,83,浙江恒逸集团有限公司,浙江杭州,N,,,恒逸石化（000703）,,
69,84,紫金矿业集团股份有限公司,福建上杭县,Y,紫金矿业,601899,,,
70,86,杭州钢铁集团公司,浙江杭州,Y,杭钢股份,600126,,,
71,87,本钢集团有限公司,辽宁本溪,N,,,本钢板材（000761）,,
72,89,三一集团有限公司,湖南长沙,Y,三一重工,600031,,,
73,90,超威电源有限公司,浙江长兴,N,,,悦达投资（600805）,,
74,91,广州医药集团有限公司,广东广州,N,,,白云山（600332） ,,
75,92,复星国际有限公司,上海,N,,,复星医药（600196）,,
76,93,徐州工程机械集团有限公司,江苏徐州,Y,徐工机械,000425,,,
77,94,中国中材集团有限公司,北京,N,,,中材科技（002080）、中材国际（600970）、中材节能（603126）,,
78,95,天能电池集团有限公司,浙江湖州,N,,,天能重工（300569）、中能电气（300062）,,
79,96,新希望集团有限公司,四川成都,N,,,新希望（000876）,,
80,98,海澜集团有限公司,江苏江阴,N,,,八一钢铁（600581）、海澜之家（600398）,,
81,99,北京建龙重工集团有限公司,北京,N,,,天富能源（600509）,,
82,101,雅戈尔集团股份有限公司,浙江宁波,Y,雅戈尔,,600177,,
83,102,中国重型汽车集团有限公司,山东济南,Y,中国重汽,,000591,,
84,103,九州通医药集团股份有限公司,湖北武汉,Y,九州通,,600998,,
85,104,上海华谊（集团）公司,上海,Y,华谊集团,600623,,,
86,105,中国中煤能源股份有限公司,北京,Y,中煤能源,601898,,,
87,106,内蒙古伊利实业集团股份有限公司,内蒙古,Y,伊利股份,600887,,,
88,107,华泰集团有限公司,山东广饶县,N,,,华泰股份（600308）,,
89,108,奥克斯集团有限公司,浙江宁波,N(港股136507),,,,,
90,109,广东温氏食品集团股份有限公司,广东云浮,Y,温氏股份,300498,,,
91,110,云南铜业股份有限公司,云南昆明,Y,云南铜业,000878,,,
92,113,杭州汽轮动力集团有限公司,浙江杭州,N（深圳B股200771）,,,,,
93,114,山西太钢不锈钢股份有限公司,山西太原,Y,太钢不锈,000825,,,
94,117,江铃汽车集团公司,江西南昌,Y,江铃汽车,000550,,,
95,118,通威集团有限公司,四川成都,Y,通威股份,600438,,,
96,119,山东晨鸣纸业集团股份有限公司,山东纸业,Y,晨鸣纸业,000488,,,
97,120,安徽江淮汽车集团股份有限公司,安徽合肥,Y,江淮汽车,600418,,,
98,121,淮北矿业（集团）有限责任公司,安徽淮北,Y,淮北矿业,600985,,,
99,122,新兴铸管股份有限公司,河北武安,Y,新兴铸管,000778,,,
100,123,马钢（集团）控股有限公司,安徽马鞍山,Y,马钢股份,600808,,,
101,124,红豆集团有限公司,江苏无锡,Y,红豆股份,600400,,,潘欣
102,125,山东京博控股股份有限公司,山东滨州,N,,,国机通用（600444）,,
103,126,常林股份有限公司,江苏南京,Y,苏美达,600710,,,
104,128,江阴澄星实业集团有限公司,江苏江阴,Y,澄星股份,600078,,,
105,130,新疆特变电工集团有限公司,新疆维吾尔自治区,Y,特变电工,600089,,,
106,131,亨通集团有限公司,江苏吴江,N,,,亨通光电（600487）,,
107,133,北京金隅股份有限公司,北京,Y,金隅集团,601992,,,
108,134,北汽福田汽车股份有限公司,北京,Y,福田汽车,600166,北汽蓝谷（600733）,,
109,137,华勤橡胶工业集团有限公司,山东济宁,N,,,,,
110,138,南京钢铁集团有限公司,江苏南京,Y,南钢股份,600282,,,
111,139,万丰奥特控股集团有限公司,浙江新昌,N,,,万丰奥威（002085）、,,
112,140,广西柳州钢铁集团有限公司,广西柳州,Y,柳钢股份,601003,,,
113,141,江苏三房巷集团有限公司,江苏江阴,Y,三房巷,600370,,,
114,144,山东太阳控股集团有限公司,山东济宁,N,,,太阳纸业（002078）,,
115,146,北京首钢股份有限公司,北京 ,Y,首钢股份,000959,,,
116,147,广东省丝绸纺织集团有限公司,广东广州,N,,,广弘控股（000529）,,
117,148,宝塔石化集团有限公司,宁夏银川,N,,,宝塔实业（000595）,,
118,150,正泰集团股份有限公司,浙江乐清,N,,,正泰电器（601877）,,
119,151,贵州茅台酒股份有限公司,贵州遵义,Y,贵州茅台,600519,,,
120,152,江苏华西集团公司,江苏江阴,Y,华西股份,000936,,,
121,158,天津市医药集团有限公司,天津,N,,,北方国际（000065）、中新药业（600329）,,
122,159,安阳钢铁集团有限责任公司,河南安阳,Y,安钢股份,600569,,,
123,160,创维数码控股有限公司,香港,N(港股00751),,,创维数字（000810）,,
124,161,隆鑫控股有限公司,重庆,N,,,隆鑫通用（603766）,,
125,162,杉杉控股有限公司,浙江宁波,Y,杉杉股份,600884,,,
126,163,重庆化医控股（集团）公司,重庆,N,,,重药控股（000950),,
127,164,郑州宇通客车股份有限公司,河南郑州,Y,宇通客车,600066,,,
128,165,江苏阳光集团有限公司,江苏江阴,Y,江苏阳光,600220,,,
129,166,昆明钢铁控股有限公司,云南昆明,N,,,云煤能源（600792）,,
130,167,甘肃酒钢集团宏兴钢铁股份有限公司,甘肃嘉峪关,Y,酒钢宏兴,600307,,,
131,168,玖龙纸业(控股)有限公司,香港,N(港股02689),,,,,
132,169,山东金岭集团有限公司,山东淄博,Y,*ST金岭,000655,,,
133,172,山东时风（集团）有限责任公司,山东高唐,N,,,中国重汽（000951）,,
134,173,重庆力帆控股有限公司,重庆,Y,力帆股份,601777,,,
135,177,云南锡业股份有限公司,云南昆明,Y,锡业股份,000960,,,
136,178,西部矿业集团有限公司,青海西宁,Y,西部矿业,601168,,,
137,180,太极集团有限公司,重庆,Y,太极集团,600129,,,
138,183,内蒙古伊泰集团有限公司,内蒙古   鄂尔多斯,N（B股上市）,伊泰B股,900948,,,
139,184,包头钢铁（集团）有限责任公司,内蒙古包头,Y,包钢股份,600010,,,
140,187,哈尔滨电气股份有限公司,哈尔滨,N(港股01133),哈尔滨电气,,,,
141,188,西王集团有限公司,山东邹平,N,,,西王食品（000639）,,
142,191,新余钢铁股份有限公司,江西新余,Y,新钢股份,600782,,,
143,192,金浦投资控股集团有限公司,江苏南京,N,,,金浦钛业（000545）,,
144,193,山东渤海实业股份有限公司,山东渤海,N,,,渤海股份（000605）、渤海汽车（600960）、,,
145,194,维维集团股份有限公司,江苏徐州,Y,维维股份,600300,,,
146,195,万华化学集团股份有限公司,山东烟台,Y,万华化学,600309,,,
147,196,陕西汽车控股集团有限公司,陕西西安,N,,,金龙汽车（600686）,,
148,198,双良集团有限公司,江苏江阴,N,,,双良节能（600481）、金一文化（002721）,,
149,203,本钢板材股份有限公司,辽宁本溪,Y,本钢板材,000761,,,
150,205,北方华锦化学工业股份有限公司,辽宁盘锦,Y,华锦股份,000059,,,
151,206,波司登股份有限公司,江苏常熟,N(港股03998),,,,,
152,207,法尔胜泓昇集团有限公司,江苏江阴,N,,,法尔胜（000890)、华西股份（000936）,,
153,209,晶龙实业集团有限公司,河北宁晋,N,,,华龙证券（835337）,,
154,211,华芳集团有限公司,江苏张家港,N,,,张家港行（002839）,,
155,213,威高集团有限公司,山东威海,N,,,苏州高新（600736）,,
156,214,杭州华东医药集团有限公司,浙江杭州,N,,,华东医药（000963）,,
157,215,广州万宝集团有限公司,广东广州,N,,,森宝电器（832593）,,
158,217,奇瑞汽车股份有限公司,安徽芜湖,N,,,万里扬（002434）、淮北矿业（600985）,,
159,219,唐山港陆钢铁有限公司,河北遵化,Y,唐山港,601000,,,
160,220,重庆机电控股（集团）公司,重庆,N,,,万里股份（600847）,,
161,221,河南豫光金铅集团有限责任公司,河南济源,N,,,豫光金铅（600531）、中金黄金（600489）,,
162,223,泸州老窖集团有限责任公司,四川泸州,Y,泸州老窖,000568,,,
163,224,澳洋集团有限公司,江苏张家港,N,,,澳洋顺昌（002245）、澳洋健康（002172）,,
164,225,浙江龙盛控股有限公司,浙江杭州,Y,浙江龙盛,600352,,,
165,226,广东海大集团股份有限公司,广东广州,Y,海大集团,002311,,,
166,227,精功集团有限公司,浙江绍兴,N,,,精功科技（002006）、会稽山（601579）,,
167,230,淄博矿业集团有限责任公司,山东淄博,N,,,日照港（600017）、新华医疗（600587）,,
168,231,厦门金龙汽车集团股份有限公司,福建厦门,Y,金龙汽车,600686,,,
169,232,凌源钢铁集团有限责任公司,辽宁凌源,Y,凌钢股份,600231,,,
170,233,深圳欧菲光科技股份有限公司,广东深圳,Y,欧菲科技,002456,,,
171,234,海信科龙电器股份有限公司,香港,N(港股00921),,,,,
172,235,南京医药股份有限公司,江苏南京,Y,南京医药,600713,,,
173,236,重庆轻纺控股（集团）公司,重庆,N,,,上海三毛（600689）,,
174,238,新疆金风科技股份有限公司,新疆乌鲁木齐,Y,金风科技,002202,,,
175,240,青岛啤酒股份有限公司,山东青岛,Y,青岛啤酒,600600,,,
176,241,广东格兰仕集团有限公司,广东佛山,N,,,,有年报,
177,244,桐昆集团股份有限公司,浙江桐乡,Y,桐昆股份,601233,,,
178,245,中科电力装备集团有限公司,安徽蚌埠,N,,,,有年报,
